survey_type,site,site depth,date,trip,quadrat,depth_at_survey,depth,depth2,bag_or_natural,bag_or_nearest_bag_if_natural,piece,unique_piece,widest_span_cm,widest_span_mm,morph,stable_bin,bound_bin,no_pieces_bound_to_it,number_binds,quadrat_angle,bed_depth1,bed_depth2,bed_depth3,bed_depth4,bed_depth5,bed_depth6,bed_depth7,bed_depth8,number_contact_points,max_gap_size_to_right_cm,contact_length_1,contact_length_2,contact_length_3,contact_length_4,contact_length_5,contact_length_6,contact_length_7,contact_length_8,contact_length_9,binder_1,binder1_length_cm,binder1_distance_cm,binder_2,binder2_length_cm,binder2_distance_cm,binder_3,binder3_length_cm,binder3_distance_cm,binder_4,binder4_length_cm,binder4_distance_cm,binder_5,binder5_length_cm,binder5_distance_cm,binder_6,binder6_length_cm,binder6_distance_cm,binder_7,binder7_length_cm,binder7_distance_cm,strength_if_tested
Bag,Pinnacle,3-5m,44147,November_2020,1,5.3,shallow,shallow,natural,B3,1,NA,15.9,159,branched,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bag,Pinnacle,3-5m,44147,November_2020,1,5.3,shallow,shallow,natural,B3,2,NA,18,180,branched,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bag,Pinnacle,3-5m,44147,November_2020,1,5.3,shallow,shallow,natural,B3,3,NA,9.3,93,branched,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bag,Pinnacle,3-5m,44147,November_2020,1,5.3,shallow,shallow,natural,B3,4,NA,18,180,unbranched,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bag,Pinnacle,3-5m,44147,November_2020,1,5.3,shallow,shallow,natural,B3,5,NA,9.9,99,branched,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sponge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bag,Pinnacle,3-5m,44147,November_2020,1,5.3,shallow,shallow,natural,B3,6,NA,15.5,155,branched,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bag,Pinnacle,3-5m,44147,November_2020,1,5.3,shallow,shallow,natural,B3,7,NA,11.5,115,branched,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bag,Pinnacle,3-5m,44147,November_2020,1,5.3,shallow,shallow,natural,B3,8,NA,9.2,92,unbranched,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bag,Pinnacle,3-5m,44147,November_2020,1,5.3,shallow,shallow,natural,B3,9,NA,9.3,93,unbranched,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bag,Pinnacle,3-5m,44147,November_2020,1,5.3,shallow,shallow,natural,B3,10,NA,9.4,94,branched,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sponge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
